task_id	dataset_name	dataset_dir	storage_dir	prot_p_conc	prot_cooperativity
1	ctrl01_random_genome_safe_stable147_refined	/group/pol_schiessel/Manish/HAMNucRetSeq_pipeline/SPRM_data/ctrl01_random_genome_safe_stable147_refined	/group/pol_schiessel/Manish/Spermatogensis/output/markov_sweep_stable147/ctrl01_random_genome_safe_stable147_refined	0.0	0.0
2	ctrl01_random_genome_safe_stable147_refined	/group/pol_schiessel/Manish/HAMNucRetSeq_pipeline/SPRM_data/ctrl01_random_genome_safe_stable147_refined	/group/pol_schiessel/Manish/Spermatogensis/output/markov_sweep_stable147/ctrl01_random_genome_safe_stable147_refined	100.0	0.0
3	ctrl01_random_genome_safe_stable147_refined	/group/pol_schiessel/Manish/HAMNucRetSeq_pipeline/SPRM_data/ctrl01_random_genome_safe_stable147_refined	/group/pol_schiessel/Manish/Spermatogensis/output/markov_sweep_stable147/ctrl01_random_genome_safe_stable147_refined	100.0	4.5
4	ctrl01_random_genome_safe_stable147_refined	/group/pol_schiessel/Manish/HAMNucRetSeq_pipeline/SPRM_data/ctrl01_random_genome_safe_stable147_refined	/group/pol_schiessel/Manish/Spermatogensis/output/markov_sweep_stable147/ctrl01_random_genome_safe_stable147_refined	500.0	0.0
5	ctrl01_random_genome_safe_stable147_refined	/group/pol_schiessel/Manish/HAMNucRetSeq_pipeline/SPRM_data/ctrl01_random_genome_safe_stable147_refined	/group/pol_schiessel/Manish/Spermatogensis/output/markov_sweep_stable147/ctrl01_random_genome_safe_stable147_refined	500.0	4.5
6	ctrl01_random_genome_safe_stable147_refined	/group/pol_schiessel/Manish/HAMNucRetSeq_pipeline/SPRM_data/ctrl01_random_genome_safe_stable147_refined	/group/pol_schiessel/Manish/Spermatogensis/output/markov_sweep_stable147/ctrl01_random_genome_safe_stable147_refined	1000.0	0.0
7	ctrl01_random_genome_safe_stable147_refined	/group/pol_schiessel/Manish/HAMNucRetSeq_pipeline/SPRM_data/ctrl01_random_genome_safe_stable147_refined	/group/pol_schiessel/Manish/Spermatogensis/output/markov_sweep_stable147/ctrl01_random_genome_safe_stable147_refined	1000.0	4.5
8	ctrl02_random_genome_gcmatched_stable147_refined	/group/pol_schiessel/Manish/HAMNucRetSeq_pipeline/SPRM_data/ctrl02_random_genome_gcmatched_stable147_refined	/group/pol_schiessel/Manish/Spermatogensis/output/markov_sweep_stable147/ctrl02_random_genome_gcmatched_stable147_refined	0.0	0.0
9	ctrl02_random_genome_gcmatched_stable147_refined	/group/pol_schiessel/Manish/HAMNucRetSeq_pipeline/SPRM_data/ctrl02_random_genome_gcmatched_stable147_refined	/group/pol_schiessel/Manish/Spermatogensis/output/markov_sweep_stable147/ctrl02_random_genome_gcmatched_stable147_refined	100.0	0.0
10	ctrl02_random_genome_gcmatched_stable147_refined	/group/pol_schiessel/Manish/HAMNucRetSeq_pipeline/SPRM_data/ctrl02_random_genome_gcmatched_stable147_refined	/group/pol_schiessel/Manish/Spermatogensis/output/markov_sweep_stable147/ctrl02_random_genome_gcmatched_stable147_refined	100.0	4.5
11	ctrl02_random_genome_gcmatched_stable147_refined	/group/pol_schiessel/Manish/HAMNucRetSeq_pipeline/SPRM_data/ctrl02_random_genome_gcmatched_stable147_refined	/group/pol_schiessel/Manish/Spermatogensis/output/markov_sweep_stable147/ctrl02_random_genome_gcmatched_stable147_refined	500.0	0.0
12	ctrl02_random_genome_gcmatched_stable147_refined	/group/pol_schiessel/Manish/HAMNucRetSeq_pipeline/SPRM_data/ctrl02_random_genome_gcmatched_stable147_refined	/group/pol_schiessel/Manish/Spermatogensis/output/markov_sweep_stable147/ctrl02_random_genome_gcmatched_stable147_refined	500.0	4.5
13	ctrl02_random_genome_gcmatched_stable147_refined	/group/pol_schiessel/Manish/HAMNucRetSeq_pipeline/SPRM_data/ctrl02_random_genome_gcmatched_stable147_refined	/group/pol_schiessel/Manish/Spermatogensis/output/markov_sweep_stable147/ctrl02_random_genome_gcmatched_stable147_refined	1000.0	0.0
14	ctrl02_random_genome_gcmatched_stable147_refined	/group/pol_schiessel/Manish/HAMNucRetSeq_pipeline/SPRM_data/ctrl02_random_genome_gcmatched_stable147_refined	/group/pol_schiessel/Manish/Spermatogensis/output/markov_sweep_stable147/ctrl02_random_genome_gcmatched_stable147_refined	1000.0	4.5
15	ctrl03_som_gcmatched_stable147_refined	/group/pol_schiessel/Manish/HAMNucRetSeq_pipeline/SPRM_data/ctrl03_som_gcmatched_stable147_refined	/group/pol_schiessel/Manish/Spermatogensis/output/markov_sweep_stable147/ctrl03_som_gcmatched_stable147_refined	0.0	0.0
16	ctrl03_som_gcmatched_stable147_refined	/group/pol_schiessel/Manish/HAMNucRetSeq_pipeline/SPRM_data/ctrl03_som_gcmatched_stable147_refined	/group/pol_schiessel/Manish/Spermatogensis/output/markov_sweep_stable147/ctrl03_som_gcmatched_stable147_refined	100.0	0.0
17	ctrl03_som_gcmatched_stable147_refined	/group/pol_schiessel/Manish/HAMNucRetSeq_pipeline/SPRM_data/ctrl03_som_gcmatched_stable147_refined	/group/pol_schiessel/Manish/Spermatogensis/output/markov_sweep_stable147/ctrl03_som_gcmatched_stable147_refined	100.0	4.5
18	ctrl03_som_gcmatched_stable147_refined	/group/pol_schiessel/Manish/HAMNucRetSeq_pipeline/SPRM_data/ctrl03_som_gcmatched_stable147_refined	/group/pol_schiessel/Manish/Spermatogensis/output/markov_sweep_stable147/ctrl03_som_gcmatched_stable147_refined	500.0	0.0
19	ctrl03_som_gcmatched_stable147_refined	/group/pol_schiessel/Manish/HAMNucRetSeq_pipeline/SPRM_data/ctrl03_som_gcmatched_stable147_refined	/group/pol_schiessel/Manish/Spermatogensis/output/markov_sweep_stable147/ctrl03_som_gcmatched_stable147_refined	500.0	4.5
20	ctrl03_som_gcmatched_stable147_refined	/group/pol_schiessel/Manish/HAMNucRetSeq_pipeline/SPRM_data/ctrl03_som_gcmatched_stable147_refined	/group/pol_schiessel/Manish/Spermatogensis/output/markov_sweep_stable147/ctrl03_som_gcmatched_stable147_refined	1000.0	0.0
21	ctrl03_som_gcmatched_stable147_refined	/group/pol_schiessel/Manish/HAMNucRetSeq_pipeline/SPRM_data/ctrl03_som_gcmatched_stable147_refined	/group/pol_schiessel/Manish/Spermatogensis/output/markov_sweep_stable147/ctrl03_som_gcmatched_stable147_refined	1000.0	4.5
22	ctrl04_bound_prom_evicted_stable147_refined	/group/pol_schiessel/Manish/HAMNucRetSeq_pipeline/SPRM_data/ctrl04_bound_prom_evicted_stable147_refined	/group/pol_schiessel/Manish/Spermatogensis/output/markov_sweep_stable147/ctrl04_bound_prom_evicted_stable147_refined	0.0	0.0
23	ctrl04_bound_prom_evicted_stable147_refined	/group/pol_schiessel/Manish/HAMNucRetSeq_pipeline/SPRM_data/ctrl04_bound_prom_evicted_stable147_refined	/group/pol_schiessel/Manish/Spermatogensis/output/markov_sweep_stable147/ctrl04_bound_prom_evicted_stable147_refined	100.0	0.0
24	ctrl04_bound_prom_evicted_stable147_refined	/group/pol_schiessel/Manish/HAMNucRetSeq_pipeline/SPRM_data/ctrl04_bound_prom_evicted_stable147_refined	/group/pol_schiessel/Manish/Spermatogensis/output/markov_sweep_stable147/ctrl04_bound_prom_evicted_stable147_refined	100.0	4.5
25	ctrl04_bound_prom_evicted_stable147_refined	/group/pol_schiessel/Manish/HAMNucRetSeq_pipeline/SPRM_data/ctrl04_bound_prom_evicted_stable147_refined	/group/pol_schiessel/Manish/Spermatogensis/output/markov_sweep_stable147/ctrl04_bound_prom_evicted_stable147_refined	500.0	0.0
26	ctrl04_bound_prom_evicted_stable147_refined	/group/pol_schiessel/Manish/HAMNucRetSeq_pipeline/SPRM_data/ctrl04_bound_prom_evicted_stable147_refined	/group/pol_schiessel/Manish/Spermatogensis/output/markov_sweep_stable147/ctrl04_bound_prom_evicted_stable147_refined	500.0	4.5
27	ctrl04_bound_prom_evicted_stable147_refined	/group/pol_schiessel/Manish/HAMNucRetSeq_pipeline/SPRM_data/ctrl04_bound_prom_evicted_stable147_refined	/group/pol_schiessel/Manish/Spermatogensis/output/markov_sweep_stable147/ctrl04_bound_prom_evicted_stable147_refined	1000.0	0.0
28	ctrl04_bound_prom_evicted_stable147_refined	/group/pol_schiessel/Manish/HAMNucRetSeq_pipeline/SPRM_data/ctrl04_bound_prom_evicted_stable147_refined	/group/pol_schiessel/Manish/Spermatogensis/output/markov_sweep_stable147/ctrl04_bound_prom_evicted_stable147_refined	1000.0	4.5
29	ctrl05_unbound_prom_yazdi_stable147_refined	/group/pol_schiessel/Manish/HAMNucRetSeq_pipeline/SPRM_data/ctrl05_unbound_prom_yazdi_stable147_refined	/group/pol_schiessel/Manish/Spermatogensis/output/markov_sweep_stable147/ctrl05_unbound_prom_yazdi_stable147_refined	0.0	0.0
30	ctrl05_unbound_prom_yazdi_stable147_refined	/group/pol_schiessel/Manish/HAMNucRetSeq_pipeline/SPRM_data/ctrl05_unbound_prom_yazdi_stable147_refined	/group/pol_schiessel/Manish/Spermatogensis/output/markov_sweep_stable147/ctrl05_unbound_prom_yazdi_stable147_refined	100.0	0.0
31	ctrl05_unbound_prom_yazdi_stable147_refined	/group/pol_schiessel/Manish/HAMNucRetSeq_pipeline/SPRM_data/ctrl05_unbound_prom_yazdi_stable147_refined	/group/pol_schiessel/Manish/Spermatogensis/output/markov_sweep_stable147/ctrl05_unbound_prom_yazdi_stable147_refined	100.0	4.5
32	ctrl05_unbound_prom_yazdi_stable147_refined	/group/pol_schiessel/Manish/HAMNucRetSeq_pipeline/SPRM_data/ctrl05_unbound_prom_yazdi_stable147_refined	/group/pol_schiessel/Manish/Spermatogensis/output/markov_sweep_stable147/ctrl05_unbound_prom_yazdi_stable147_refined	500.0	0.0
33	ctrl05_unbound_prom_yazdi_stable147_refined	/group/pol_schiessel/Manish/HAMNucRetSeq_pipeline/SPRM_data/ctrl05_unbound_prom_yazdi_stable147_refined	/group/pol_schiessel/Manish/Spermatogensis/output/markov_sweep_stable147/ctrl05_unbound_prom_yazdi_stable147_refined	500.0	4.5
34	ctrl05_unbound_prom_yazdi_stable147_refined	/group/pol_schiessel/Manish/HAMNucRetSeq_pipeline/SPRM_data/ctrl05_unbound_prom_yazdi_stable147_refined	/group/pol_schiessel/Manish/Spermatogensis/output/markov_sweep_stable147/ctrl05_unbound_prom_yazdi_stable147_refined	1000.0	0.0
35	ctrl05_unbound_prom_yazdi_stable147_refined	/group/pol_schiessel/Manish/HAMNucRetSeq_pipeline/SPRM_data/ctrl05_unbound_prom_yazdi_stable147_refined	/group/pol_schiessel/Manish/Spermatogensis/output/markov_sweep_stable147/ctrl05_unbound_prom_yazdi_stable147_refined	1000.0	4.5
36	ret_all_stable147_refined	/group/pol_schiessel/Manish/HAMNucRetSeq_pipeline/SPRM_data/ret_all_stable147_refined	/group/pol_schiessel/Manish/Spermatogensis/output/markov_sweep_stable147/ret_all_stable147_refined	0.0	0.0
37	ret_all_stable147_refined	/group/pol_schiessel/Manish/HAMNucRetSeq_pipeline/SPRM_data/ret_all_stable147_refined	/group/pol_schiessel/Manish/Spermatogensis/output/markov_sweep_stable147/ret_all_stable147_refined	100.0	0.0
38	ret_all_stable147_refined	/group/pol_schiessel/Manish/HAMNucRetSeq_pipeline/SPRM_data/ret_all_stable147_refined	/group/pol_schiessel/Manish/Spermatogensis/output/markov_sweep_stable147/ret_all_stable147_refined	100.0	4.5
39	ret_all_stable147_refined	/group/pol_schiessel/Manish/HAMNucRetSeq_pipeline/SPRM_data/ret_all_stable147_refined	/group/pol_schiessel/Manish/Spermatogensis/output/markov_sweep_stable147/ret_all_stable147_refined	500.0	0.0
40	ret_all_stable147_refined	/group/pol_schiessel/Manish/HAMNucRetSeq_pipeline/SPRM_data/ret_all_stable147_refined	/group/pol_schiessel/Manish/Spermatogensis/output/markov_sweep_stable147/ret_all_stable147_refined	500.0	4.5
41	ret_all_stable147_refined	/group/pol_schiessel/Manish/HAMNucRetSeq_pipeline/SPRM_data/ret_all_stable147_refined	/group/pol_schiessel/Manish/Spermatogensis/output/markov_sweep_stable147/ret_all_stable147_refined	1000.0	0.0
42	ret_all_stable147_refined	/group/pol_schiessel/Manish/HAMNucRetSeq_pipeline/SPRM_data/ret_all_stable147_refined	/group/pol_schiessel/Manish/Spermatogensis/output/markov_sweep_stable147/ret_all_stable147_refined	1000.0	4.5
